"Date","Passage",
"2026-01-01","Gen 1-3"
"2026-01-02","Gen 4-7"
"2026-01-03","Gen 8-11"
"2026-01-04","Job 1-5"
"2026-01-05","Job 6-9"
"2026-01-06","Job 10-15"
"2026-01-07","Job 16-20"
"2026-01-08","Job 21-26"
"2026-01-09","Job 27-31"
"2026-01-10","Job 32-35"
"2026-01-11","Job 36-39"
"2026-01-12","Job 40-42; Gen 12-13"
"2026-01-13","Gen 14-17"
"2026-01-14","Gen 18-20"
"2026-01-15","Gen 21-23"
"2026-01-16","Gen 24-25"
"2026-01-17","Gen 26-27"
"2026-01-18","Gen 28-30"
"2026-01-19","Gen 31-32"
"2026-01-20","Gen 33-35"
"2026-01-21","Gen 36-38"
"2026-01-22","Gen 39-40"
"2026-01-23","Gen 41-42"
"2026-01-24","Gen 43-45"
"2026-01-25","Gen 46-48"
"2026-01-26","Gen 49-50; Ex 1"
"2026-01-27","Ex 2-4"
"2026-01-28","Ex 5-7"
"2026-01-29","Ex 8-10"
"2026-01-30","Ex 11-12"
"2026-01-31","Ex 13-15"
"2026-02-01","Ex 16-18"
"2026-02-02","Ex 19-21"
"2026-02-03","Ex 22-24"
"2026-02-04","Ex 25-27"
"2026-02-05","Ex 28-29"
"2026-02-06","Ex 30-31"
"2026-02-07","Ex 32-34"
"2026-02-08","Ex 35-36"
"2026-02-09","Ex 37-39"
"2026-02-10","Ex 40; Lev 1-2"
"2026-02-11","Lev 3-5"
"2026-02-12","Lev 6-7"
"2026-02-13","Lev 8-10"
"2026-02-14","Lev 11-13"
"2026-02-15","Lev 14"
"2026-02-16","Lev 15-16"
"2026-02-17","Lev 17-19"
"2026-02-18","Lev 20-22"
"2026-02-19","Lev 23-24"
"2026-02-20","Lev 25-26"
"2026-02-21","Lev 27; Num 1"
"2026-02-22","Num 2-3"
"2026-02-23","Num 4"
"2026-02-24","Num 5-6"
"2026-02-25","Num 7-9"
"2026-02-26","Num 10-11"
"2026-02-27","Num 12-14"
"2026-02-28","Num 15; Ps 90; Num 16"
"2026-03-01","Num 17-18"
"2026-03-02","Num 19-21"
"2026-03-03","Num 22-23"
"2026-03-04","Num 24-26"
"2026-03-05","Num 27-29"
"2026-03-06","Num 30-31"
"2026-03-07","Num 32-33"
"2026-03-08","Num 34-36"
"2026-03-09","Deut 1-2"
"2026-03-10","Deut 3-4"
"2026-03-11","Deut 5-7"
"2026-03-12","Deut 8-10"
"2026-03-13","Deut 11-12"
"2026-03-14","Deut 13-15"
"2026-03-15","Deut 16-18"
"2026-03-16","Deut 19-21"
"2026-03-17","Deut 22-24"
"2026-03-18","Deut 25-27"
"2026-03-19","Deut 28-29"
"2026-03-20","Deut 30-31"
"2026-03-21","Deut 32-33"
"2026-03-22","Deut 34; Ps 91; Josh 1-3"
"2026-03-23","Josh 4-6"
"2026-03-24","Josh 7-8"
"2026-03-25","Josh 9-10"
"2026-03-26","Josh 11-13"
"2026-03-27","Josh 14-17"
"2026-03-28","Josh 18-20"
"2026-03-29","Josh 21-22"
"2026-03-30","Josh 23-24; Jdg 1"
"2026-03-31","Jdg 2-3"
"2026-04-01","Jdg 4-6"
"2026-04-02","Jdg 7-8"
"2026-04-03","Jdg 9-10"
"2026-04-04","Jdg 11-12"
"2026-04-05","Jdg 13-15"
"2026-04-06","Jdg 16-18"
"2026-04-07","Jdg 19-20"
"2026-04-08","Jdg 21; Rut 1-2"
"2026-04-09","Rut 3-4; 1 Sa 1"
"2026-04-10","1 Sa 2-4"
"2026-04-11","1 Sa 5-8"
"2026-04-12","1 Sa 9-10"
"2026-04-13","1 Sa 11-13"
"2026-04-14","1 Sa 14-15"
"2026-04-15","1 Sa 16-17"
"2026-04-16","1 Sa 18-19"
