Date,Passage
2026-01-01,"Gen 1; Mat 1; Ezr 1; Acts 1"
2026-01-02,"Gen 2; Mat 2; Ezr 2; Acts 2"
2026-01-03,"Gen 3; Mat 3; Ezr 3; Acts 3"
2026-01-04,"Gen 4; Mat 4; Ezr 4; Acts 4"
2026-01-05,"Gen 5; Mat 5; Ezr 5; Acts 5"
2026-01-06,"Gen 6; Mat 6; Ezr 6; Acts 6"
2026-01-07,"Gen 7; Mat 7; Ezr 7; Acts 7"
2026-01-08,"Gen 8; Mat 8; Ezr 8; Acts 8"
2026-01-09,"Gen 9; Gen 10; Mat 9; Ezr 9; Acts 9"
2026-01-10,"Gen 11; Mat 10; Ezr 10; Acts 10"
2026-01-11,"Gen 12; Mat 11; Neh 1; Acts 11"
2026-01-12,"Gen 13; Mat 12; Neh 2; Acts 12"
2026-01-13,"Gen 14; Mat 13; Neh 3; Acts 13"
2026-01-14,"Gen 15; Mat 14; Neh 4; Acts 14"
2026-01-15,"Gen 16; Mat 15; Neh 5; Acts 15"
2026-01-16,"Gen 17; Mat 16; Neh 6; Acts 16"
2026-01-17,"Gen 18; Mat 17; Neh 7; Acts 17"
2026-01-18,"Gen 19; Mat 18; Neh 8; Acts 18"
2026-01-19,"Gen 20; Mat 19; Neh 9; Acts 19"
2026-01-20,"Gen 21; Mat 20; Neh 10; Acts 20"
2026-01-21,"Gen 22; Mat 21; Neh 11; Acts 21"
2026-01-22,"Gen 23; Mat 22; Neh 12; Acts 22"
2026-01-23,"Gen 24; Mat 23; Neh 13; Acts 23"
2026-01-24,"Gen 25; Mat 24; Est 1; Acts 24"
2026-01-25,"Gen 26; Mat 25; Est 2; Acts 25"
2026-01-26,"Gen 27; Mat 26; Est 3; Acts 26"
2026-01-27,"Gen 28; Mat 27; Est 4; Acts 27"
2026-01-28,"Gen 29; Mat 28; Est 5; Acts 28"
2026-01-29,"Gen 30; Mk 1; Est 6; Rom 1"
2026-01-30,"Gen 31; Mk 2; Est 7; Rom 2"
2026-01-31,"Gen 32; Mk 3; Est 8; Rom 3"
2026-02-01,"Gen 33; Mk 4; Est 9; Est 10; Rom 4"
2026-02-02,"Gen 34; Mk 5; Job 1; Rom 5"
2026-02-03,"Gen 35; Gen 36; Mk 6; Job 2; Rom 6"
2026-02-04,"Gen 37; Mk 7; Job 3; Rom 7"
2026-02-05,"Gen 38; Mk 8; Job 4; Rom 8"
2026-02-06,"Gen 39; Mk 9; Job 5; Rom 9"
2026-02-07,"Gen 40; Mk 10; Job 6; Rom 10"
2026-02-08,"Gen 41; Mk 11; Job 7; Rom 11"
2026-02-09,"Gen 42; Mk 12; Job 8; Rom 12"
2026-02-10,"Gen 43; Mk 13; Job 9; Rom 13"
2026-02-11,"Gen 44; Mk 14; Job 10; Rom 14"
2026-02-12,"Gen 45; Mk 15; Job 11; Rom 15"
2026-02-13,"Gen 46; Mk 16; Job 12; Rom 16"
2026-02-14,"Gen 47; Luk 1; Job 13; 1 Co 1"
2026-02-15,"Gen 48; Job 14; 1 Co 2"
2026-02-16,"Gen 49; Luk 2; Job 15; 1 Co 3"
2026-02-17,"Gen 50; Luk 3; Job 16; Job 17; 1 Co 4"
2026-02-18,"Ex 1; Luk 4; Job 18; 1 Co 5"
2026-02-19,"Ex 2; Luk 5; Job 19; 1 Co 6"
2026-02-20,"Ex 3; Luk 6; Job 20; 1 Co 7"
2026-02-21,"Ex 4; Luk 7; Job 21; 1 Co 8"
2026-02-22,"Ex 5; Luk 8; Job 22; 1 Co 9"
2026-02-23,"Ex 6; Luk 9; Job 23; 1 Co 10"
2026-02-24,"Ex 7; Luk 10; Job 24; 1 Co 11"
2026-02-25,"Ex 8; Luk 11; Job 25; Job 26; 1 Co 12"
2026-02-26,"Ex 9; Luk 12; Job 27; 1 Co 13"
2026-02-27,"Ex 10; Luk 13; Job 28; 1 Co 14"
2026-02-28,"Ex 11; Ex 12; Luk 14; Job 29; 1 Co 15"
2026-03-01,"Luk 15; Job 30; 1 Co 16"
2026-03-02,"Ex 13; Luk 16; Job 31; 2 Co 1"
2026-03-03,"Ex 14; Luk 17; Job 32; 2 Co 2"
2026-03-04,"Ex 15; Luk 18; Job 33; 2 Co 3"
2026-03-05,"Ex 16; Luk 19; Job 34; 2 Co 4"
2026-03-06,"Ex 17; Luk 20; Job 35; 2 Co 5"
2026-03-07,"Ex 18; Luk 21; Job 36; 2 Co 6"
2026-03-08,"Ex 19; Luk 22; Job 37; 2 Co 7"
2026-03-09,"Ex 20; Luk 23; Job 38; 2 Co 8"
2026-03-10,"Ex 21; Luk 24; Job 39; 2 Co 9"
2026-03-11,"Ex 22; John 1; Job 40; 2 Co 10"
2026-03-12,"Ex 23; John 2; Job 41; 2 Co 11"
2026-03-13,"Ex 24; John 3; Job 42; 2 Co 12"
2026-03-14,"Ex 25; John 4; Pro 1; 2 Co 13"
2026-03-15,"Ex 26; John 5; Pro 2; Gal 1"
2026-03-16,"Ex 27; John 6; Pro 3; Gal 2"
2026-03-17,"Ex 28; John 7; Pro 4; Gal 3"
2026-03-18,"Ex 29; John 8; Pro 5; Gal 4"
2026-03-19,"Ex 30; John 9; Pro 6; Gal 5"
2026-03-20,"Ex 31; John 10; Pro 7; Gal 6"
2026-03-21,"Ex 32; John 11; Pro 8; Eph 1"
2026-03-22,"Ex 33; John 12; Pro 9; Eph 2"
2026-03-23,"Ex 34; John 13; Pro 10; Eph 3"
2026-03-24,"Ex 35; John 14; Pro 11; Eph 4"
2026-03-25,"Ex 36; John 15; Pro 12; Eph 5"
2026-03-26,"Ex 37; John 16; Pro 13; Eph 6"
2026-03-27,"Ex 38; John 17; Pro 14; Phil 1"
2026-03-28,"Ex 39; John 18; Pro 15; Phil 2"
2026-03-29,"Ex 40; John 19; Pro 16; Phil 3"
2026-03-30,"Lev 1; John 20; Pro 17; Phil 4"
2026-03-31,"Lev 2; Lev 3; John 21; Pro 18; Col 1"
2026-04-01,"Lev 4; Ps 1; Ps 2; Pro 19; Col 2"
2026-04-02,"Lev 5; Ps 3; Ps 4; Pro 20; Col 3"
2026-04-03,"Lev 6; Ps 5; Ps 6; Pro 21; Col 4"
2026-04-04,"Lev 7; Ps 7; Ps 8; Pro 22; 1 Th 1"
2026-04-05,"Lev 8; Ps 9; Pro 23; 1 Th 2"
2026-04-06,"Lev 9; Ps 10; Pro 24; 1 Th 3"
2026-04-07,"Lev 10; Ps 11; Ps 12; Pro 25; 1 Th 4"
2026-04-08,"Lev 11; Lev 12; Ps 13; Ps 14; Pro 26; 1 Th 5"
2026-04-09,"Lev 13; Ps 15; Ps 16; Pro 27; 2 Th 1"
2026-04-10,"Lev 14; Ps 17; Pro 28; 2 Th 2"
2026-04-11,"Lev 15; Ps 18; Pro 29; 2 Th 3"
2026-04-12,"Lev 16; Ps 19; Pro 30; 1 Ti 1"
2026-04-13,"Lev 17; Ps 20; Ps 21; Pro 31; 1 Ti 2"
2026-04-14,"Lev 18; Ps 22; Ecc 1; 1 Ti 3"
2026-04-15,"Lev 19; Ps 23; Ps 24; Ecc 2; 1 Ti 4"
2026-04-16,"Lev 20; Ps 25; Ecc 3; 1 Ti 5"
2026-04-17,"Lev 21; Ps 26; Ps 27; Ecc 4; 1 Ti 6"
2026-04-18,"Lev 22; Ps 28; Ps 29; Ecc 5; 2 Ti 1"
2026-04-19,"Lev 23; Ps 30; Ecc 6; 2 Ti 2"
2026-04-20,"Lev 24; Ps 31; Ecc 7; 2 Ti 3"
2026-04-21,"Lev 25; Ps 32; Ecc 8; 2 Ti 4"
2026-04-22,"Lev 26; Ps 33; Ecc 9; Tit 1"
2026-04-23,"Lev 27; Ps 34; Ecc 10; Tit 2"
2026-04-24,"Num 1; Ps 35; Ecc 11; Tit 3"
2026-04-25,"Num 2; Ps 36; Ecc 12; Phlm 1"
2026-04-26,"Num 3; Ps 37; Sos 1; Heb 1"
2026-04-27,"Num 4; Ps 38; Sos 2; Heb 2"
2026-04-28,"Num 5; Ps 39; Sos 3; Heb 3"
2026-04-29,"Num 6; Ps 40; Ps 41; Sos 4; Heb 4"
2026-04-30,"Num 7; Ps 42; Ps 43; Sos 5; Heb 5"
2026-05-01,"Num 8; Ps 44; Sos 6; Heb 6"
2026-05-02,"Num 9; Ps 45; Sos 7; Heb 7"
2026-05-03,"Num 10; Ps 46; Ps 47; Sos 8; Heb 8"
2026-05-04,"Num 11; Ps 48; Isa 1; Heb 9"
2026-05-05,"Num 12; Num 13; Ps 49; Isa 2; Heb 10"
2026-05-06,"Num 14; Ps 50; Isa 3; Isa 4; Heb 11"
2026-05-07,"Num 15; Ps 51; Isa 5; Heb 12"
2026-05-08,"Num 16; Ps 52; Ps 53; Ps 54; Isa 6; Heb 13"
2026-05-09,"Num 17; Num 18; Ps 55; Isa 7; Jam 1"
2026-05-10,"Num 19; Ps 56; Ps 57; Isa 8; Isa 9; Jam 2"
2026-05-11,"Num 20; Ps 58; Ps 59; Isa 10; Jam 3"
2026-05-12,"Num 21; Ps 60; Ps 61; Jam 4"
2026-05-13,"Num 22; Ps 62; Ps 63; Isa 11; Isa 12; Jam 5"
2026-05-14,"Num 23; Ps 64; Ps 65; Isa 13; 1 Pe 1"
2026-05-15,"Num 24; Ps 66; Ps 67; Isa 14; 1 Pe 2"
2026-05-16,"Num 25; Ps 68; Isa 15; 1 Pe 3"
2026-05-17,"Num 26; Ps 69; Isa 16; 1 Pe 4"
2026-05-18,"Num 27; Ps 70; Ps 71; Isa 17; Isa 18; 1 Pe 5"
2026-05-19,"Num 28; Ps 72; Isa 19; Isa 20; 2 Pe 1"
2026-05-20,"Num 29; Ps 73; Isa 21; 2 Pe 2"
2026-05-21,"Num 30; Ps 74; Isa 22; 2 Pe 3"
2026-05-22,"Num 31; Ps 75; Ps 76; Isa 23; 1 Jn 1"
2026-05-23,"Num 32; Ps 77; Isa 24; 1 Jn 2"
2026-05-24,"Num 33; Ps 78; Isa 25; 1 Jn 3"
2026-05-25,"Num 34; Isa 26; 1 Jn 4"
2026-05-26,"Num 35; Ps 79; Isa 27; 1 Jn 5"
2026-05-27,"Num 36; Ps 80; Isa 28; 2 Jn 1"
2026-05-28,"Deut 1; Ps 81; Ps 82; Isa 29; 3 Jn 1"
